Model,Top1,Top2,MAE_cm
XGBoost,0.6701352757544224,0.8022892819979188,0.14715115187939695
Raw size-only router,0.6600209863588667,0.8405036726128017,0.29071152596837074
Unified hierarchical inverter,0.6180482686253935,0.7859391395592865,0.15654307463111558
