index,phase,mean_drop,median_drop,count
0,loading_early,0.06623324670042273,0.004671199596486986,399
1,loading_late,0.024964682386675173,0.0013044448569417,138
2,peak_neighborhood,0.2303212406405851,0.0244372240267694,953
3,release,0.04460158348461546,0.0012981891632080078,97
